"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.40","43.67","TORONTO CITY","6158355","2019-01-01","2019","01","01","","6.3","","-6.6","","-0.1","","18.1","","0.0","","","","","","0.4","","0","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-01-02","2019","01","02","","0.6","","-8.2","","-3.8","","21.8","","0.0","","","","","","2.9","","0","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-01-03","2019","01","03","","1.5","","-0.6","","0.5","","17.5","","0.0","","","","","","0.0","","5","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-01-04","2019","01","04","","7.8","","1.2","","4.5","","13.5","","0.0","","","","","","0.0","","4","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-01-05","2019","01","05","","3.9","","1.0","","2.5","","15.5","","0.0","","","","","","0.0","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-01-06","2019","01","06","","4.8","","-6.8","","-1.0","","19.0","","0.0","","","","","","0.0","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-01-07","2019","01","07","","5.7","","-7.6","","-0.9","","18.9","","0.0","","","","","","2.4","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-01-08","2019","01","08","","8.7","","3.3","","6.0","","12.0","","0.0","","","","","","3.0","","0","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-01-09","2019","01","09","","3.4","","-3.5","","-0.1","","18.1","","0.0","","","","","","0.9","","0","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-01-10","2019","01","10","","-3.5","","-10.3","","-6.9","","24.9","","0.0","","","","","","0.0","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-01-11","2019","01","11","","-6.5","","-12.2","","-9.3","","27.3","","0.0","","","","","","0.0","","0","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2019-01-12","2019","01","12","","-4.1","","-7.4","","-5.7","","23.7","","0.0","","","","","","0.0","","1","","","M","","M"
